"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.12275355710566e-05,14,511,5.82125282617369,"Response to wounding "," http://amigo.geneontology.org/amigo/term/GO:0009611"," Timp1  Col1a1  Cd36  Cdkn1a  Tnc  Ephb2  Anxa2  Tspan8  Acta2  Thbs1  Sarm1  Cadm4  Cxcl2  Lgals1"
4.64745336169572e-05,8,134,12.6851180988263,"Icosanoid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006690"," Ptgds  Avpr1a  Cyp1a2  Cyp2b9  Gstp1  Gsta1  Cyp2a4  Cyp2a22"
4.64745336169572e-05,18,907,4.21671786857345,"Enzyme linked receptor protein signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007167"," Col1a1  Cidea  Cd63  Nr4a3  Svep1  Ephb2  Ereg  Plat  Bmper  Gpc1  Slc39a5  Thbs1  Fam83a  Cadm4  Ntrk2  Dnai1  Nrg1  Mup16"
4.64745336169572e-05,12,377,6.7631531508331,"Wound healing "," http://amigo.geneontology.org/amigo/term/GO:0042060"," Timp1  Col1a1  Cd36  Cdkn1a  Tnc  Ephb2  Anxa2  Tspan8  Acta2  Thbs1  Cadm4  Cxcl2"
5.13128868000357e-05,31,2510,2.62420222024523,"Cell surface receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007166"," Timp1  Col1a1  Cd36  Gprc5b  Scube1  Boc  Cxcl13  Grm8  Cidea  Cd63  Nr4a3  Svep1  Enho  Ephb2  Ereg  Plat  Bmper  Itgbl1  Gpc1  Cpe  Slc39a5  Thbs1  Adgrf1  Fam83a  Cadm4  Ntrk2  Cxcl2  Gstp1  Dnai1  Nrg1  Mup16"
7.77762088089261e-05,4,14,60.7073509015257,"Trans-synaptic signaling, modulating synaptic transmission "," http://amigo.geneontology.org/amigo/term/GO:0099550"," Ephb2  Plat  Cspg5  Ntrk2"
0.000122679675230898,45,4822,1.98287178908965,"System development "," http://amigo.geneontology.org/amigo/term/GO:0048731"," Timp1  Col1a1  Cd36  Gprc5b  Avpr1a  Ldb3  Pdlim2  Sybu  Boc  Cdkn1a  Cxcl13  Fasn  Nfasc  Nr4a3  Tnc  Svep1  Ephb2  Ereg  Mgp  Bmper  Anxa2  Cyp1a2  Cspg5  Gpc1  Ly6d  Wnk4  Acta2  Cpe  Rbm24  Cyp7b1  Slc39a5  Thbs1  Adgrf1  Pls1  Sarm1  Mmp13  Ntrk2  Tubb2a  Col25a1  Gstp1  Dnai1  Nrg1  Mas1  Lgals1  Ang"
0.000197020470113523,19,1135,3.55686240964886,"Circulatory system development "," http://amigo.geneontology.org/amigo/term/GO:0072359"," Col1a1  Cd36  Ldb3  Pdlim2  Cdkn1a  Svep1  Ephb2  Ereg  Bmper  Anxa2  Acta2  Cpe  Rbm24  Thbs1  Mmp13  Ntrk2  Dnai1  Nrg1  Ang"
0.000292718088810921,7,124,11.9945975571563,"Regulation of wound healing "," http://amigo.geneontology.org/amigo/term/GO:0061041"," Cd36  Ephb2  Anxa2  Tspan8  Acta2  Thbs1  Cadm4"
0.000298278231304979,26,2053,2.69087624551331,"Movement of cell or subcellular component "," http://amigo.geneontology.org/amigo/term/GO:0006928"," Timp1  Col1a1  Epdr1  Sybu  Boc  Cxcl13  Cd63  Nfasc  Nr4a3  Svep1  Ephb2  Plat  Bmper  Itgbl1  Gpc1  Acta2  Cyp7b1  Thbs1  Cadm4  Ntrk2  Cxcl2  Tubb2a  Dnai1  Nrg1  Ang  Smim22"
0.000393643409368204,24,1822,2.7988021271834,"Locomotion "," http://amigo.geneontology.org/amigo/term/GO:0040011"," Timp1  Col1a1  Boc  Cxcl13  Cd63  Nfasc  Nr4a3  Svep1  Ephb2  Plat  Bmper  Itgbl1  Gpc1  Acta2  Cyp7b1  Thbs1  Cadm4  Ntrk2  Cxcl2  Tubb2a  Dnai1  Nrg1  Ang  Smim22"
0.000445462207163084,20,1335,3.18315697610996,"Lipid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006629"," Cd36  Mogat1  Ptgds  Avpr1a  Elovl7  Cidea  Fasn  Nr4a3  Far2  Acsm2  Cyp1a2  Cyp7b1  Cyp2b9  Gstp1  Fabp4  Ang  Gsta1  Cyp2a4  Mup16  Cyp2a22"
0.000504546374169671,16,893,3.80695593559399,"Carboxylic acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019752"," Cd36  Ptgds  Avpr1a  Elovl7  Fasn  Nr4a3  Acsm2  Cyp1a2  Cyp7b1  Cyp2b9  Gstp1  Fabp4  Gsta1  Cyp2a4  Cyp2a22  Gm3839"
0.000572703816101816,16,905,3.75647696186236,"Oxoacid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0043436"," Cd36  Ptgds  Avpr1a  Elovl7  Fasn  Nr4a3  Acsm2  Cyp1a2  Cyp7b1  Cyp2b9  Gstp1  Fabp4  Gsta1  Cyp2a4  Cyp2a22  Gm3839"
0.000625026468107011,22,1636,2.85725306810359,"Cell motility "," http://amigo.geneontology.org/amigo/term/GO:0048870"," Timp1  Col1a1  Cxcl13  Cd63  Nr4a3  Svep1  Ephb2  Plat  Bmper  Itgbl1  Gpc1  Acta2  Cyp7b1  Thbs1  Cadm4  Ntrk2  Cxcl2  Tubb2a  Dnai1  Nrg1  Ang  Smim22"
0.000625026468107011,22,1636,2.85725306810359,"Localization of cell "," http://amigo.geneontology.org/amigo/term/GO:0051674"," Timp1  Col1a1  Cxcl13  Cd63  Nr4a3  Svep1  Ephb2  Plat  Bmper  Itgbl1  Gpc1  Acta2  Cyp7b1  Thbs1  Cadm4  Ntrk2  Cxcl2  Tubb2a  Dnai1  Nrg1  Ang  Smim22"
0.000625026468107011,32,3042,2.23511614101607,"Cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," Col1a1  Cd36  Gstm3  Avpr1a  Sybu  Cxcl13  Cidea  Fasn  Cd63  Ptgfr  Nr4a3  Tnc  Ereg  Bmper  Cyp1a2  Gpc1  Cyp7b1  Slc39a5  Thbs1  Cyp2b9  Cadm4  Ntrk2  Cxcl2  Gstp1  Dnai1  Fabp4  Mas1  Lgals1  Gsta1  Cyp2a4  Mup16  Cyp2a22"
0.000760331335381311,16,937,3.62818746049673,"Organic acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006082"," Cd36  Ptgds  Avpr1a  Elovl7  Fasn  Nr4a3  Acsm2  Cyp1a2  Cyp7b1  Cyp2b9  Gstp1  Fabp4  Gsta1  Cyp2a4  Cyp2a22  Gm3839"
0.00107762039894364,7,161,9.23807513718869,"Regulation of response to wounding "," http://amigo.geneontology.org/amigo/term/GO:1903034"," Cd36  Ephb2  Anxa2  Tspan8  Acta2  Thbs1  Cadm4"
0.00112876055108803,17,1087,3.32298746885076,"Negative regulation of protein metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051248"," Timp1  Wfdc2  Cdkn1a  Ephb2  Plat  Anxa2  Rbm24  Thbs1  Cadm4  Ntrk2  Serpina9  Gstp1  Fabp4  Nrg1  Mas1  Ang  Serpina1e"
